car_id,selling_price
1,235000
2,185000
3,150000
4,172000
5,125000
6,260000
7,281000
8,345000
9,150000
10,381000
11,340000
12,290000
13,325000
14,300000
15,360000
16,300000
17,350000
18,315000
19,299000
20,180000
21,185000
22,110000
23,175000
24,135000
25,230000
26,135000
27,150000
28,155000
29,140000
30,175000
31,185000
32,175000
33,145000
34,145000
35,175000
36,175000
37,175000
38,175000
39,160000
40,95000
41,111000
42,145000
43,155000
44,195000
45,211000
46,235000
47,175000
48,185000
49,150000
50,210000
51,200000
52,100000
53,110000
54,245000
55,95000
56,140000
57,135000
58,220000
59,185000
60,175000
61,185000
62,175000
63,245000
64,165000
65,275000
66,180000
67,160000
68,138000
69,130000
70,90000
71,170000
72,210000
73,185000
74,130000
75,225000
76,110000
77,125000
78,160000
79,120000
80,80000
81,125000
82,100000
83,115000
84,135000
85,100000
86,205000
87,220000
88,275000
89,175000
90,100000
91,175000
92,210000
93,105000
94,178000
95,125000
96,245000
97,265000
98,120000
99,85000
100,140000
101,95000
102,75000
103,170000
104,95000
105,121000
106,80000
107,65000
108,80000
109,90000
110,170000
111,77000
112,135000
113,95000
114,190000
115,125000
116,140000
117,185000
118,120000
119,60000
120,140000
121,150000
122,170000
123,200000
124,115000
125,150000
126,165000
127,164000
128,185000
129,90000
130,145000
131,106000
132,62000
133,135000
134,250000
135,70000
136,110000
137,148000
138,80000
139,140000
140,150000
141,150000
142,300000
143,170000
144,120000
145,222000
146,100000
147,140000
148,150000
149,100000
150,115000
151,250000
152,140000
153,168000
154,85000
155,150000
156,110000
157,150000
158,150000
159,150000
160,130000
161,200000
162,70000
163,165000
164,80000
165,175000
166,150000
167,200000
168,170000
169,150000
170,170000
171,110000
172,160000
173,160000
174,97000
175,130000
176,140000
177,156000
178,104000
179,90000
180,85000
181,100000
182,85000
183,170000
184,100000
185,135000
186,140000
187,80000
188,180000
189,110000
190,75000
191,180000
192,100000
193,125000
194,150000
195,91000
196,120000
197,200000
198,130000
199,45000
200,100000
201,115000
202,110000
203,65000
204,135000
205,100000
206,180000
207,65000
208,100000
209,190000
210,125000
211,215000
212,80000
213,110000
214,350000
215,245000
216,50000
217,180000
218,375000
219,489000
220,475000
221,399000
222,350000
223,499000
224,430000
225,350000
226,290000
227,235000
228,350000
229,299000
230,320000
231,310000
232,280000
233,285000
234,330000
235,260000
236,300000
237,290000
238,290000
239,275000
240,265000
241,60000
242,314000
243,323000
244,345000
245,300000
246,291000
247,325000
248,285000
249,275000
250,319000
251,250000
252,349000
253,224000
254,220000
255,300000
256,290000
257,265000
258,285000
259,360000
260,329000
261,310000
262,275000
263,280000
264,300000
265,250000
266,311000
267,312000
268,250000
269,310000
270,300000
271,255000
272,295000
